Titles	Genres
Inside Man[(19, 0.8840000033378601), (0, 0.006000000052154064), (1, 0.006000000052154064), (2, 0.006000000052154064), (4, 0.006000000052154064)]	['Crime', 'Drama', 'Mystery', 'Thriller']
Sleepers[(8, 0.8989999890327454), (0, 0.004999999888241291), (1, 0.004999999888241291), (2, 0.004999999888241291), (3, 0.004999999888241291)]	['Crime', 'Drama', 'Thriller']
Boyz n the Hood[(20, 0.6209999918937683), (3, 0.3100000023841858), (0, 0.004000000189989805), (1, 0.004000000189989805), (2, 0.004000000189989805)]	['Crime', 'Drama']
October Sky[(8, 0.4950000047683716), (0, 0.24899999797344208), (2, 0.15199999511241913), (1, 0.006000000052154064), (4, 0.006000000052154064)]	['Biography', 'Drama', 'Family']
Mr. Nobody[(20, 0.8849999904632568), (0, 0.006000000052154064), (1, 0.006000000052154064), (2, 0.006000000052154064), (4, 0.006000000052154064)]	['Drama', 'Fantasy', 'Romance', 'Sci-Fi']
Seven Pounds[(1, 0.4449999928474426), (11, 0.4449999928474426), (0, 0.006000000052154064), (2, 0.006000000052154064), (4, 0.006000000052154064)]	['Drama', 'Romance']
Kung Fu Panda[(7, 0.7200000286102295), (5, 0.014999999664723873), (9, 0.014999999664723873), (10, 0.014999999664723873), (15, 0.014999999664723873)]	['Animation', 'Action', 'Adventure', 'Comedy', 'Family']
The Secret in Their Eyes[(13, 0.4909999966621399), (18, 0.20200000703334808), (9, 0.1860000044107437), (0, 0.007000000216066837), (1, 0.007000000216066837)]	['Drama', 'Mystery', 'Romance', 'Thriller']
The Bourne Supremacy[(2, 0.46799999475479126), (10, 0.3779999911785126), (5, 0.008999999612569809), (9, 0.008999999612569809), (15, 0.008999999612569809)]	['Action', 'Mystery', 'Thriller']
The Fighter[(8, 0.8989999890327454), (0, 0.004999999888241291), (1, 0.004999999888241291), (2, 0.004999999888241291), (3, 0.004999999888241291)]	['Biography', 'Drama', 'Sport']
O Brother, Where Art Thou?[(18, 0.722000002861023), (5, 0.014999999664723873), (9, 0.014999999664723873), (10, 0.014999999664723873), (15, 0.014999999664723873)]	['Adventure', 'Comedy', 'Crime', 'Music']
Ghost in the Shell[(10, 0.5699999928474426), (5, 0.023000000044703484), (9, 0.023000000044703484), (15, 0.023000000044703484), (4, 0.02199999988079071)]	['Animation', 'Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']
Breakfast at Tiffany's[(5, 0.5070000290870667), (1, 0.25699999928474426), (16, 0.17100000381469727), (0, 0.004000000189989805), (2, 0.004000000189989805)]	['Comedy', 'Drama', 'Romance']
The Fly[(3, 0.8840000033378601), (0, 0.006000000052154064), (1, 0.006000000052154064), (2, 0.006000000052154064), (4, 0.006000000052154064)]	['Drama', 'Horror', 'Sci-Fi']
Dog Day Afternoon[(11, 0.2720000147819519), (2, 0.2709999978542328), (16, 0.2709999978542328), (4, 0.010999999940395355), (5, 0.010999999940395355)]	['Biography', 'Crime', 'Drama', 'Thriller']
To Kill a Mockingbird[(16, 0.40799999237060547), (11, 0.23000000417232513), (6, 0.2150000035762787), (5, 0.008999999612569809), (9, 0.008999999612569809)]	['Crime', 'Drama']
Ponyo[(15, 0.3970000147819519), (5, 0.38600000739097595), (9, 0.15199999511241913), (0, 0.004000000189989805), (1, 0.004000000189989805)]	['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']
